Movie_ID,Title,Director,Cast,Year,Genre
83768192,Brihonnola,Murad Parvez,"Ferdous Ahmed, Sohana Saba",2014,Drama
83768193,Amra Korbo Joy,Ahsan Sorwar,"Ahsan Sadaf, Konica",2014,Horror
83768194,Kistimaat,Ashiqur Rahman,"Arifin Shuvoo, Achol, Misha Sawdagor",2014,"Action, Romance"
83768195,Kothin Protishodh,Nazrul Islam Khan,"Shakib Khan, Apu Biswas, Misha Sawdagor",2014,"Action, Romance"
83768196,Hitman,Wazed Ali Sumon,"Shakib Khan, Apu Biswas, Sujata, Misha Sawdagor",2014,Action
83768197,Shera Nayok,Wakil Ahmed,"Shakib Khan, Apu Biswas, Misha Sawdagor, Ali Raz",2014,"Romance, Action"
83768198,Time Machine,Symon Jahan,"Ratna, Sourav Sidak, Irene, Modhumoni, Yamin",2014,Fantasy
83768199,Ant Story,Mostofa Sarwar Farooki,"Sheena Chohan, Nur Imran Mithu",2014,"Comedy, Drama"
83768200,Jane Na E Mon,M A Rahim,"Mamnun Hasan Emon, Jaanvi",2014,"Romance, Action"
83768201,My Name is Simi,Montazur Rahman Akbar,"Simi Akter Koli, Zayed Khan, Misha Sawdagor",2014,Action
83768202,Horijon,Mirza Shakhwat Hossain,"Rokeya Prachi, Jayanta Chattopadhyay, Mamunur Rashid, Arjumand Ara Bokul",2014,Drama
83768203,Onek Sadher Moyna,Jakir Hossain Raju,"Mahiya Mahi, Bappy Chowdhury, Anisur Rahman Milon",2014,"Romance, Drama"
83768204,Onek Shadhonar Pore,Abul Kalam Azad,"Nijhum Rubina, Shanto, Prabir Mitra",2014,"Romance, Action"
83768205,Shopno Je Tui,Monirul Islam Shohel,"Mamnun Hasan Emon, Achol, Kazi Hayat",2014,Romance
83768206,Shorbonasha Ya ba,Kazi Hayat,"Kazi Maruf, Prosun Azad, Kazi Hayat",2014,"Action, Drama"
83768207,Char Okkhore Bhalobasha,Jakir Khan,"Ferdous Ahmed, Popy, Nirab Hossain",2014,Romance
83768208,Ek Cup Cha,Naeem Imtiaz Neamul,"Mousumi, Ferdous, Rituparna Sengupta, Alamgir,Humayun Faridi, Abdur Razzak",2014,Romance
83768209,Prem Korbo Tomar Sathe,Raqibul Alam,"Zayed Khan, Zakia Bari Momo, Anisur Rahman Milon",2014,Romance
83768210,Meghmallar,Zahidur Rahim Anjan,"Shahiduzzaman Selim, Aparna Ghose, Jayanto Chattopadhyay",2014,"Drama, War"
83768211,Shopno Chhoya,Shafiq Hasan,"Symon Sadik, Bobby",2014,Romance
